cause,sex,age,rate,provenance
cancer,F,80,0.013,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,90,0.013,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
cancer,F,100,0.012,"[std] CONSTRUCTED: 암(유사암 제외) on the insured definition excluding C44 and C73; shaped on the 국가암등록통계 연령별 발생률 [REG-R40] and on the 「기타피부암 및 갑상선암 이외의 암 발생률」 grid of the 참조순보험요율 display [REG-R61]. That grid is published and its age grid reaches 연령 0 and 10, but this product's research pass did not open it, so these rows are NOT reconciled to it: the shipped paediatric anchors sit at about 0.6 (M) and 0.5 (F) of the published rate at 연령 0 and 10 while the adult anchors sit near or slightly above it. A 참조순보험요율 is a net premium rate carrying a safety loading, not a best estimate [REG-R9] [REG-R61]"
minor_cancer,M,0,3e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,1,2.5e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,5,2e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,10,3e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,15,8e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,20,0.00025,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,30,0.0006,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,40,0.0012,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,50,0.0017,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,60,0.002,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,70,0.0019,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,80,0.0015,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,90,0.001,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,M,100,0.0007,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,0,3e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,1,2.5e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,5,2e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,10,5e-05,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,15,0.00025,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,20,0.0009,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,30,0.0028,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,40,0.0047,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,50,0.005,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,60,0.0042,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,70,0.003,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,80,0.0019,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,90,0.0012,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
minor_cancer,F,100,0.0008,"[std] CONSTRUCTED: 유사암 (기타피부암, 갑상선암, 대장점막내암, 제자리암, 경계성종양), dominated by 갑상선암, whose 국가암등록통계 age and sex pattern is the shape [REG-R40]; the tier is the complement of the [REG-R61] insured definition, so no published rate covers it"
cerebral,M,0,4e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,1,1.2e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,5,1e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,10,1e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,15,2e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,20,3e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,30,8e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,40,0.0002,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,50,0.00045,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,60,0.00085,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,70,0.0016,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,80,0.0028,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,90,0.004,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,M,100,0.0045,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,0,3.5e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,1,1.1e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,5,1e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,10,1e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,15,2e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,20,3e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,30,7e-05,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,40,0.00015,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,50,0.0003,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,60,0.0006,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,70,0.0013,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,80,0.0025,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,90,0.0038,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cerebral,F,100,0.0043,"[std] CONSTRUCTED: 뇌출혈, the narrow definition the comparison basis prices [R12]; shaped on Korean cerebrovascular age patterns [REG-R41]; the supervisor records that the exposure at child ages is 「극히 희박」 [R1]"
cardiac,M,0,2e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,1,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,5,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,10,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,15,2e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,20,5e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,30,3e-05,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,40,0.00015,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,50,0.00045,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,60,0.00095,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,70,0.0019,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,80,0.0033,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,90,0.0045,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,M,100,0.0048,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,0,2e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,1,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,5,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,10,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,15,1e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,20,2e-06,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,30,1e-05,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,40,4e-05,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,50,0.00012,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,60,0.00035,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,70,0.00095,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,80,0.0022,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,90,0.0035,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
cardiac,F,100,0.004,"[std] CONSTRUCTED: 급성심근경색증, the narrow definition of the comparison basis [R12]; shaped on Korean ischaemic-heart age patterns [REG-R41]; effectively nil for the first three decades of the term [R1]"
fracture,M,0,0.004,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,1,0.009,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,5,0.02,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,10,0.03,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,15,0.028,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,20,0.02,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,30,0.014,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,40,0.013,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,50,0.014,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,60,0.017,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,70,0.024,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,80,0.04,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,90,0.06,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,M,100,0.07,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,0,0.0035,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,1,0.0075,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,5,0.014,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,10,0.02,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,15,0.016,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,20,0.01,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,30,0.008,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,40,0.009,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,50,0.013,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,60,0.02,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,70,0.032,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,80,0.055,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,90,0.08,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
fracture,F,100,0.09,"[std] CONSTRUCTED: 골절진단 frequency (치아파절 excluded), peaking in school-age childhood and again in old age; no Korean fracture frequency by age was retrieved"
burn,M,0,0.006,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,1,0.005,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,5,0.003,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,10,0.0018,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,15,0.0016,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,20,0.0018,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,30,0.0016,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,40,0.0015,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,50,0.0015,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,60,0.0015,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,70,0.0016,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,80,0.002,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,90,0.0025,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
burn,M,100,0.0028,"[std] CONSTRUCTED: 화상진단 frequency, peaking in infancy; no Korean burn frequency by age was retrieved"
